address,votingPower,tokensOwned,blockNumber,previousBalance,newBalance,difference,delegator,fromDelegate,toDelegate,transferFrom,transferTo
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15730106,15000483909122442469046005,15000484912446946006866997,1003324503537820992,0x9F8AF0Bef30D33811aEDB08f5E642d7b0a176c32,0x9F8AF0Bef30D33811aEDB08f5E642d7b0a176c32,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732180,15000484912446946006866997,15000499784916648374287841,14872469702367420844,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0x4A7a7Bb334d6044D202c2f8FFac21b770cfc536a
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732183,15000499784916648374287841,15000483912446946006866997,-15872469702367420844,0x4A7a7Bb334d6044D202c2f8FFac21b770cfc536a,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x76f54Eeb0D33a2A2c5CCb72FE12542A56f35d67C,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732196,15000483912446946006866997,15000498784817146611827680,14872370200604960683,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0x48Cb9f02743D33557A923E86B073A45052Aba3c6
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732200,15000498784817146611827680,15000482912446946006866997,-15872370200604960683,0x48Cb9f02743D33557A923E86B073A45052Aba3c6,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x76f54Eeb0D33a2A2c5CCb72FE12542A56f35d67C,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732217,15000482912446946006866997,15000496722415895608211520,13809968949601344523,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0xbd741C6f37A864AbAC662B2688f11FBe326E8D64
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732226,15000496722415895608211520,15000481912446946006866997,-14809968949601344523,0xbd741C6f37A864AbAC662B2688f11FBe326E8D64,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0xa6e8772af29b29B9202a073f8E36f447689BEef6,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732312,15000481912446946006866997,15000496784829621057337676,14872382675050470679,,,,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801,0x4A410F7Bb57EDf9Dd0aff761781E5c2E9F8B62AC
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15732313,15000496784829621057337676,15000480912446946006866997,-15872382675050470679,0x4A410F7Bb57EDf9Dd0aff761781E5c2E9F8B62AC,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x76f54Eeb0D33a2A2c5CCb72FE12542A56f35d67C,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15743728,15000480912446946006866997,15000479752994609818594206,-1159452336188272791,0x328adB38154Da8F93cE0fFc47c26055e1975299b,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,0x328adB38154Da8F93cE0fFc47c26055e1975299b,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15765653,15000479752994609818594206,15000479947310211111547469,194315601292953263,0xf68E63b08906C7709A870de9F2D0392986dF6DEE,0xf68E63b08906C7709A870de9F2D0392986dF6DEE,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15771237,15000479947310211111547469,15000020831110211111547469,-459116200000000000000,,,,0x92a4F58009dF9eaC5f2AF6d05977683639f0060e,0xa900e6Ad774ce34155C121F1E47A25CA146a2Cf1
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15854607,15000020831110211111547469,15000025093902892860004974,4262792681748457505,0x9e6f8c7B8FCEFE84888C756eC0c09B876f8779B7,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15874051,15000025093902892860004974,15000025593902892860004974,500000000000000000,0x08e82BE581749B02ACeb77E256366E03A2e57dcA,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15874060,15000025593902892860004974,15000026101179538920188370,507276646060183396,0xA03Cc906B0Eb893843cBA7a171E62Af6F7b6c44E,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15895692,15000026101179538920188370,15000027101179538920188370,1000000000000000000,0xb353D1ef1668c77772Ac26058D7f7ab58ddD39Df,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15910498,15000027101179538920188370,15000026101179538920188580,-999999999999999790,,,,0xb353D1ef1668c77772Ac26058D7f7ab58ddD39Df,0x1d42064Fc4Beb5F8aAF85F4617AE8b3b5B8Bd801
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15946362,15000026101179538920188580,15000028101179538920188580,2000000000000000000,0x8Fa4Eb329cD2c01844b0e2E523df9EF6D130AB4f,0x8Fa4Eb329cD2c01844b0e2E523df9EF6D130AB4f,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15960161,15000028101179538920188580,15000029591512437159848911,1490332898239660331,0x32573ec9734A1054cd0E35F0e28314e688089138,0x32573ec9734A1054cd0E35F0e28314e688089138,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15961172,15000029591512437159848911,15000031591512437159848911,2000000000000000000,0x22f98EaE7D6A8dBeB2dC5Bd514B964EA3f76c329,0x22f98EaE7D6A8dBeB2dC5Bd514B964EA3f76c329,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15977602,15000031591512437159848911,15000032591512437159848911,1000000000000000000,,,,0xFfec0067F5a79CFf07527f63D83dD5462cCf8BA4,0xb353D1ef1668c77772Ac26058D7f7ab58ddD39Df
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15979649,15000032591512437159848911,15000033591512437159848911,1000000000000000000,0x389cA0AaC7Ee047FB3BC648E85F933C08d504000,0x389cA0AaC7Ee047FB3BC648E85F933C08d504000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,15001421735904700536582403,0,15983161,15000033591512437159848911,15000232901512437159848911,199310000000000000000,0x8439a3B6ed9cF3771Ba4b91C2812316a209ec194,0x0000000000000000000000000000000000000000,0x2B1Ad6184a6B0fac06bD225ed37C2AbC04415fF4,,
