address,delegator,date,voting_power
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,eth2028.eth,2022-10-17,0.19
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xbB36...1246,2022-10-05,0.09
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,cryptospb.eth,2023-03-18,0.06
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xkosk.eth,2023-04-20,0.02
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,ethoparb.eth,2022-12-03,0.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,joshua19921225,2022-09-05,0.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0x54A1...1147,2023-04-10,0.0
0x2b1ad6184a6b0fac06bd225ed37c2abc04415ff4,0xdCb9...2959,2022-09-14,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xBB0D...3133,2021-04-02,5000000.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x0fCC...A6b3,2021-10-04,424446.88
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xA274...E684,2021-04-02,150003.83
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,childsp.eth,2021-04-01,2185.96
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xd0s.eth,2021-04-09,106.4
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,pepes.eth,2021-05-31,13.78
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0xtrey.eth,2021-05-28,12.85
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,centrocapital.eth,2021-05-30,2.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,zhardi.eth,2022-10-04,1.1
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,casanova2.eth,2022-06-06,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,drogean.eth,2021-04-01,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x5131...70e5,2021-04-03,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x69aF...756a,2021-04-08,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,0x95bA...fCD5,2021-04-08,0.0
0x59a5493513bA2378Ed57aE5ecfB8A027E9D80365,jtnichol.eth,2021-03-31,0.0
0xb55a948763e0d386b6dEfcD8070a522216AE42b1,0x3744...9eA2,2022-04-01,2556153.01
0xb55a948763e0d386b6dEfcD8070a522216AE42b1,0x67a9...DfC9,2021-11-18,2500000.0
0xb55a948763e0d386b6dEfcD8070a522216AE42b1,0x6aCf...Bae7,2022-09-02,10.08
0xb55a948763e0d386b6dEfcD8070a522216AE42b1,0xdaluosi.eth,2023-03-26,2.0
0xb55a948763e0d386b6dEfcD8070a522216AE42b1,luckycoming.eth,2023-03-25,1.0
0xb55a948763e0d386b6dEfcD8070a522216AE42b1,0xd9B9...c530,2022-03-16,0.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x8608...f1d3,2022-08-12,2500000.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x4C26...6FEd,2023-03-02,2500000.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,thesecondskin.eth,2023-03-22,75.52
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,crypto-believer.eth,2023-02-11,8.6
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,bitcoin-believer.eth,2023-02-11,8.6
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,993636.eth,2023-02-11,8.45
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x99D3...736d,2023-04-11,8.4
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0xe669...543f,2023-04-10,8.38
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x5DE4...9344,2023-04-11,8.3
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x9474...AC7E,2023-04-11,8.26
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x0aA4...c54A,2023-04-11,8.23
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x522a...8EcD,2023-04-10,8.23
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x0B9C...Fb47,2023-04-10,8.0
0x553F674dD7D102ad79C644103974a1cc53b62Ac2,0x7f61...3aF6,2023-04-10,8.0
